run	seq_len	batch	params	final_ppl	best_ppl	final_acc	tok_per_sec	train_step_sec	elapsed_min	peak_mem_mb
global_local_transformer_w128_g16_seq1024	1024	32	26711712	364.1370	349.6603	0.1656	80000.7	0.4096	35.13	2681.6
global_local_transformer_w128_g16_seq2048	2048	32	26711712	316.4506	316.4506	0.1775	50827.0	1.2894	110.51	4932.0
local_conv_seq1024	1024	64	26428120	287.8551	287.8551	0.1997	493794.9	0.1327	11.44	2346.5
local_conv_seq2048	2048	64	26428120	260.2003	260.2003	0.2041	522085.7	0.2511	21.71	4251.8
local_transformer_w128_seq1024	1024	32	26711712	357.9866	346.9505	0.1819	80002.5	0.4096	35.13	2681.6
local_transformer_w128_seq2048	2048	32	26711712	311.7326	311.7326	0.1800	51010.2	1.2848	110.33	4932.0
pcaf_context_seq1024	1024	64	26592730	223.9536	223.9536	0.2156	442593.8	0.1481	12.47	2409.7
pcaf_context_seq2048	2048	64	26592730	210.7252	210.7252	0.2172	469045.3	0.2794	24.04	4467.7
pcaf_no_cache_seq1024	1024	64	26592730	283.2705	283.2705	0.2019	490489.7	0.1336	11.46	2347.1
pcaf_no_cache_seq2048	2048	64	26592730	261.6446	261.6446	0.1975	524598.8	0.2499	21.71	4252.4
pcaf_no_gate_seq1024	1024	64	26592730	259.5340	259.5340	0.2041	449257.2	0.1459	12.59	2409.3
pcaf_no_gate_seq2048	2048	64	26592730	247.0044	247.0044	0.2062	472142.7	0.2776	23.96	4467.3
transformer_dense_seq1024	1024	32	26711712	392.3169	386.1413	0.1625	112773.5	0.2906	25.38	2677.6
transformer_dense_seq2048	2048	8	26711712	577.4223	458.1995	0.1225	77094.5	0.2125	18.84	2712.8
