run	seq_len	batch	params	final_ppl	best_ppl	final_acc	tok_per_sec	train_step_sec	elapsed_min	peak_mem_mb
global_local_transformer_w128_g16_seq1024	1024	128	41512320	207.3292	207.3292	0.2310	10442000.7	0.0126	4.67	0.0
global_local_transformer_w128_g16_seq2048	2048	64	41708928	287.3892	287.3892	0.2103	7154482.5	0.0183	6.67	0.0
local_conv_seq2048	2048	256	41742522	118.1157	118.1157	0.2676	45821539.4	0.0114	4.18	0.0
local_transformer_w128_seq1024	1024	128	41512320	209.0805	209.0805	0.2297	10439427.8	0.0126	4.64	0.0
local_transformer_w128_seq2048	2048	64	41708928	283.7582	283.7582	0.2155	7155787.0	0.0183	6.64	0.0
pcaf_context_seq1024	1024	256	41742522	99.2036	96.4533	0.2768	25575109.2	0.0102	3.79	0.0
pcaf_context_seq2048	2048	256	41742522	95.4890	95.4890	0.2804	38915492.6	0.0135	4.91	0.0
pcaf_hybrid_seq1024	1024	256	41742522	104.9420	100.8398	0.2661	22195709.9	0.0118	4.40	0.0
pcaf_hybrid_seq2048	2048	256	41742522	104.9024	101.8386	0.2675	34376841.3	0.0153	5.54	0.0
pcaf_no_gate_seq2048	2048	256	41742522	111.2543	111.2543	0.2591	38720755.7	0.0135	4.95	0.0
pcaf_semantic_seq1024	1024	256	41742522	103.4217	102.0182	0.2684	25248470.0	0.0104	3.91	0.0
pcaf_semantic_seq2048	2048	256	41742522	102.8419	102.8419	0.2715	37833723.7	0.0139	5.09	0.0
transformer_dense_seq1024	1024	128	41512320	214.1376	214.1376	0.2280	10440795.8	0.0126	4.63	0.0
transformer_dense_seq2048	2048	64	41708928	311.4003	311.4003	0.2075	7156168.5	0.0183	6.63	0.0
